iter	Passed	Remaining
0	75	45395
1	136	40912
2	216	43043
3	277	41365
4	356	42393
5	414	41046
6	494	41889
7	553	40978
8	619	40672
9	685	40421
10	736	39437
11	806	39515
12	858	38747
13	909	38080
14	980	38253
15	1036	37832
16	1118	38351
17	1180	38180
18	1238	37866
19	1324	38401
20	1386	38224
21	1457	38294
22	1523	38232
23	1588	38116
24	1642	37787
25	1688	37286
26	1774	37665
27	1853	37855
28	1934	38098
29	2013	38265
30	2129	39085
31	2209	39222
32	2311	39718
33	2387	39749
34	2481	40064
35	2569	40258
36	2658	40448
37	2752	40711
38	2833	40753
39	2927	40981
40	3004	40963
41	3092	41084
42	3161	40956
43	3261	41212
44	3335	41143
45	3442	41462
46	3528	41515
47	3631	41764
48	3681	41398
49	3725	40976
50	3787	40773
51	3854	40624
52	3960	40880
53	4040	40853
54	4133	40959
55	4208	40887
56	4299	40955
57	4382	40950
58	4476	41049
59	4523	40712
60	4561	40306
61	4663	40465
62	4736	40375
63	4823	40395
64	4893	40274
65	4986	40344
66	5052	40196
67	5132	40156
68	5199	40016
69	5292	40074
70	5358	39926
71	5432	39836
72	5495	39674
73	5559	39518
74	5646	39524
75	5702	39319
76	5788	39319
77	5856	39194
78	5947	39223
79	6027	39180
80	6123	39236
81	6180	39041
82	6270	39058
83	6352	39024
84	6452	39093
85	6530	39033
86	6617	39020
87	6695	38958
88	6803	39060
89	6875	38962
90	6969	38980
91	7030	38819
92	7114	38783
93	7172	38611
94	7243	38503
95	7298	38318
96	7357	38152
97	7439	38110
98	7490	37907
99	7529	37646
100	7597	37537
101	7652	37364
102	7714	37222
103	7794	37175
104	7859	37052
105	7936	36989
106	7991	36821
107	8051	36677
108	8119	36575
109	8182	36447
110	8263	36406
111	8321	36258
112	8376	36099
113	8451	36031
114	8510	35891
115	8586	35827
116	8644	35687
117	8723	35633
118	8783	35504
119	8837	35351
120	8904	35249
121	8947	35056
122	9002	34913
123	9067	34807
124	9125	34678
125	9180	34534
126	9259	34487
127	9315	34351
128	9382	34258
129	9442	34137
130	9501	34018
131	9576	33953
132	9631	33819
133	9692	33707
134	9762	33625
135	9818	33498
136	9897	33450
137	9948	33306
138	10006	33188
139	10092	33162
140	10163	33085
141	10213	32942
142	10299	32916
143	10365	32824
144	10446	32781
145	10513	32692
146	10591	32638
147	10652	32533
148	10721	32453
149	10805	32415
150	10870	32324
151	10943	32253
152	11006	32155
153	11081	32092
154	11148	32007
155	11224	31947
156	11290	31857
157	11358	31774
158	11429	31701
159	11490	31599
160	11566	31538
161	11636	31461
162	11801	31640
163	11946	31759
164	12027	31707
165	12089	31606
166	12171	31557
167	12231	31451
168	12316	31409
169	12374	31299
170	12430	31184
171	12508	31126
172	12567	31019
173	12632	30928
174	12686	30810
175	12739	30691
176	12810	30616
177	12869	30511
178	12929	30408
179	13008	30352
180	13067	30249
181	13147	30195
182	13207	30095
183	13267	29995
184	13340	29925
185	13397	29820
186	13480	29772
187	13535	29663
188	13613	29603
189	13672	29504
190	13729	29399
